,m/z,theoretical_mz,ppm,precursor_type,name,formula,exact_mass,cas,biocyc,chebi,chembl,drugbank,hmdb,kegg,knapsack,lipidbank,lipidmaps,metabolights,pubchem,wikipedia
MSI00532,812.2816,812.2780,5,[M+K]+,Coenzyme F420,C29H36N5O18P,773.1793,,,,,,,C00876,,,,,,
MSI00533,813.2157,813.2260,12,[M+H-H2O]+,Uroporphyrin I,C40H38N4O16,830.2283,,,,,,,C05767,,,,,,
MSI00535,895.5393,895.5405,1,[M+NH4]+,Pseudostellarin E,C45H67N9O9,877.50617475,,,,,,,,,,,,10033610,
MSI00536,900.0392,900.0410,2,[M+K]+,Denufosol tetrasodium,C18H23N5Na4O21P4,860.9426779,318250-11-2,,,,,,,,,,,10219163,
MSI00538,962.4746,962.4742,0,[M+H]+,CID 5461926,C44H84N2O10P2Tc-2,961.466371,,,,,,,,,,,,5461926,
MSI00539,989.2024,989.1920,11,[M+NH4]+,2-Succinylbenzoyl-CoA,C32H44N7O20P3S,971.1575,,,,,,,C03160,,,,,,
MSI00540,120.0474,120.0480,8,[M-H2O+NH4]+,3-(Methylthio)propanoate,C4H8O2S,120.0245,,,,,,,C08276,,,,,,
MSI00541,120.0751,120.0770,18,[M+NH4]+,N-Formiminoglycine,C3H6N2O2,102.0429,,,,,,,C02718,,,,,,
MSI00542,120.1627,120.1626,0,[M+NH4]+,Trimethyl(propyl)azanium,C6H16N+,102.128274515,20064-29-3,,CHEBI:183153,,,HMDB0006509,,,,,,29385,
MSI00549,120.9885,120.9885,0,[M+H]+,Nitro ketone,CN2O5,119.9807211,,,,,,,,,,,,54223030,
MSI00550,121.0605,121.0610,6,[M+NH4]+,(Z)-3-Peroxyaminoacrylate,C3H5NO3,103.0269,,,,,,,C20249,,,,,,
MSI00554,122.0006,122.0009,2,[M]+,(2R)-2-amino-2-chloropropanoate,C3H5ClNO2-,122.0008811,,,,,,,,,,,,46926279,
MSI00555,122.0164,122.0168,3,[M+H-H2O]+,2-Fluorobenzoate,C7H4FO2-,139.01953253,16426-56-5,,CHEBI:27839,,,,,,,,,177745,
MSI00556,122.0292,122.0292,0,[M+H-2H2O]+,Chlormequat chloride,C5H13ClN.Cl,157.0425048,999-81-5,,CHEBI:137392,,,,,,,,,13836,Chlormequat
MSI00563,123.0495,123.0520,18,[M+K]+,Dichloromethane,CH2Cl2,83.9534,,,,,,,C02271,,,,,,
MSI00567,123.9240,123.9243,2,[M+Na]+,CID 162327707,CCaClN,100.9345175,,,,,,,,,,,,162327707,
MSI00568,124.1469,124.1490,17,[M-H2O+NH4]+,"2-Isopropyl-1,4-hexadiene",C9H16,124.12520051,,,CHEBI:187185,,,HMDB0037777,,,,,,6429324,
MSI00569,124.1918,124.1874,35,[M+K]+,2-Methylpyrrolidine,C5H11N,85.089149355,765-38-8,,CHEBI:145240,,,,,,,,,13003,
MSI00571,124.8848,124.8874,21,[M+H-H2O]+,Calcium hypochlorite,Ca(ClO)2,141.8901255,none; 7778-54-3,,CHEBI:31342,,DB15912,,,,,,,24504,Calcium hypochlorite
MSI00572,124.9059,124.9046,10,[M]+,125-Iodine,I,124.90463,14158-31-7,,,,DB14804,,,,,,,131873571,
MSI00585,125.9502,125.9541,31,[M]+,Mercaptomethyl phosphonate,CH3O3PS-2,125.95405212,,,,,DB03498,,,,,,,5288817,
MSI00589,126.8727,126.8740,10,[M]+,Cobaltous chloride co-57,Cl2Co,126.873995,,,,,,,,,,,,11954354,
MSI00591,126.9282,126.9280,1,[M-H2O+NH4]+,Iodide,I,126.9045,,,,,,,C00708,,,,,,
MSI00592,127.1205,127.1211,5,[M+Na]+,N-methylputrescinium(2+),C5H16N2+2,104.131348519,,,CHEBI:58039,,,,,,,,,21668242,
MSI00593,127.1851,127.1871,16,[M+K]+,1-Pentanol,C5H12O,88.088815002,71-41-0; 30899-19-5,,CHEBI:44884,,,HMDB0013036,,,,LMFA05000112,,6276,1-Pentanol
MSI00598,127.8712,127.8730,14,[M]+,Nickel chloride,Cl2Ni,127.873047,37211-05-5; 7718-54-9; 7718-54-9; 37211-05-5,,CHEBI:34887,,,,,,,,,24385,Nickel(II) chloride
MSI00605,128.9318,128.9316,1,[M+H-H2O]+,Disulfurous acid,H2S2O5,145.93436551,33669-61-3,,CHEBI:29252,,,,,,,,,28020,Disulfurous acid
MSI00606,129.0034,129.0038,3,[M]+,"Amino 2,2,2-trifluoroacetate",C2H2F3NO2,129.00376279,,,,,,,,,,,,14935781,
MSI00607,129.0774,129.0790,12,[M]+,N4-Acetylaminobutanal,C6H11NO2,129.079,,,,,,,C05936,,,,,,
MSI00612,130.1842,130.1854,10,[M+K]+,3-(Hydroxyamino)propylazanium,C3H11N2O+,91.087137979,,,,,,,,,,,,25201617,
MSI00615,130.7958,130.7975,13,[M+H-2H2O]+,Chromium;iron;nickel,CrFeNi,165.810782,8049-16-9,,,,,,,,,,,11571850,
MSI00616,131.0138,131.0130,4,[M+H-2H2O]+,4-Hydroxyphenylglyoxylate,C8H6O4,166.0266,,,,,,,C03590,,,,,,
MSI00617,131.0377,131.0376,1,[M]+,5-chloro-1-methyl-2H-pyrrol-1-ium-3-amine,C5H8ClN2+,131.037601,,,,,,,,,,,,18421615,
MSI00618,131.1572,131.1569,2,[M+K]+,Ammonium glycinate,C2H8N2O2,92.058577502,29728-27-6,,,,,,,,,,,161644,
MSI00619,131.1955,131.1933,17,[M+K]+,"2-Hydroxypropane-1,3-diaminium",C3H12N2O+2,92.094963011,,,,,,,,,,,,3844163,
MSI00625,132.1724,132.1711,10,[M+K]+,L-Alanine-d4,C3H7NO2,93.07278545,18806-29-6,,CHEBI:76050,,,,,,,,,12205373,
MSI00630,133.0254,133.0270,9,[M+Na]+,Catechol,C6H6O2,110.0368,,,,,,,C00090,,,,,,
MSI00633,133.9645,133.9643,1,[M+H]+,Acetonitrile-phosphate,C2NO4P,132.95649448,,,,,,,,,,,,129651602,
MSI00641,134.9910,134.9881,22,[M+Na]+,Thiophene-2-carbaldehyde,C5H4OS,111.99828592,98-03-3,,CHEBI:87301,,,HMDB0029717,,,,,,7364,
MSI00642,135.1408,135.1406,2,[M+K]+,MeOH formic acid water,C2H8O4,96.04225873,,,,,,,,,,,,86663602,
MSI00644,136.0265,136.0273,6,[M]+,"2,6-Dihydroxy-3-cyanopyridine",C6H4N2O2,136.027277375,35441-10-2,,,,,,,,,,,100608,
MSI00645,136.0890,136.0870,11,[M+H-H2O]+,"2,4-Diamino-6-hydroxylaminotoluene",C7H11N3O,153.0902,,,,,,,C16399,,,,,,
MSI00646,136.1347,136.1338,7,[M+NH4]+,"1,5-Hexanediol",C6H14O2,118.099379685,928-40-5,,CHEBI:179534,,,HMDB0031490,,,,LMFA05000583,,79126,
MSI00652,136.9012,136.9012,0,[M+H-2H2O]+,Ethanol;iron(2+);dichloride,C2H6Cl2FeO,171.914506,,,,,,,,,,,,157200061,
MSI00653,137.1369,137.1376,5,[M]+,CID 23519385,C8H16BN,137.1375797,,,,,,,,,,,,23519385,
MSI00662,138.9591,138.9590,3,[M+H-2H2O]+,"cis-2-Chloro-4-carboxymethylenebut-2-en-1,4-olide",C6H3ClO4,173.972,,,,,,,C04706,,,,,,
MSI00669,139.9244,139.9200,32,[M]+,CID 15794490,C3H2Ru+,139.91999,,,,,,,,,,,,15794490,
MSI00670,140.0769,140.0810,30,[M]+,"N,N-dimethyl-N'-(2H-tetrazol-5-yl)methanimidamide",C4H8N6,140.08104428,,,,,,,,,,,,379822,
MSI00675,142.1043,142.1020,15,[M-H2O+NH4]+,1-Methylnaphthalene,C11H10,142.0783,,,,,,,C14082,,,,,,
MSI00676,142.1512,142.1506,4,[M+H]+,"(1,2-13C2)nonanenitrile",C9H17N,141.142809217,,,,,,,,,,,,10877210,
MSI00680,142.8967,142.8980,9,[M]+,Tetraoxidobromine(.),BrO4,142.898,,,CHEBI:29893,,,,,,,,,5460558,
MSI00682,143.0592,143.0586,5,[M+NH4]+,(2-Aminoethyl)phosphonic acid,C2H8NO3P,125.02418011,2041-14-7,,CHEBI:15573,,,HMDB0011747,C03557,,,,,339,
MSI00690,143.9135,143.9136,1,[M+H]+,Aluminum;calcium;dioxido(oxo)silane,AlCaO3Si+3,142.9057997,,,,,,,,,,,,21940880,
MSI00698,144.9893,144.9894,1,[M+H]+,Dithiocyanato ethane,C4H4N2S2,143.98159048,,,,,,,,,,,,21924329,
MSI00700,146.2055,146.2021,23,[M-H2O+NH4]+,"1,8-Diammoniooctane",C8H22N2+2,146.17829871,,,,,,,,,,,,5247760,
MSI00706,147.0984,147.0960,19,[M-H2O+NH4]+,5-Methylthiopentanaldoxime,C6H13NOS,147.0718,,,,,,,C17245,,,,,,
MSI00707,147.1079,147.1048,21,[M]+,"1,2,3,4-Tetrahydro-2-naphthylamine",C10H13N,147.104799419,2954-50-9; 21880-87-5,,CHEBI:125359,,,,,,,,,34677,
MSI00708,147.1634,147.1623,7,[M]+,Tetraethylammonium hydroxide,C8H21NO,147.162314293,77-98-5,,,,,,,,,,,6509,Tetraethylammonium_hydroxide
MSI00715,148.1743,148.1701,28,[M+NH4]+,2-Octanol,CH3(CH2)5CH(OH)CH3,130.135765193,123-96-6; 4128-31-8,,CHEBI:37869,,,HMDB0034261,,,,LMFA05000620,,20083,
MSI00717,149.0302,149.0299,2,[M]+,2-Methylbenzothiazole,C8H7NS,149.0299204,120-75-2,,,,,HMDB0033001,,,,,,8446,
MSI00722,149.9805,149.9819,9,[M]+,5-nitro-2H-tetrazole;chloride,CHClN5O2-,149.981877,,,,,,,,,,,,161051528,
MSI00724,150.9170,150.9160,7,[M+H]+,Cesium hydroxide,CsHO,149.90819161,21351-79-1; 12182-83-1,,CHEBI:33988,,,,,,,,,62750,Caesium hydroxide
MSI00725,150.9541,150.9541,0,[M+H-2H2O]+,Nickel formate dihydrate,C2H8NiO6,185.96743,,,,,,,,,,,,57370201,
MSI00730,151.9440,151.9432,5,[M]+,But-2-enedioyl dichloride,C4H2Cl2O2,151.9431847,,,,,,,,,,,,12324,
MSI00731,152.0568,152.0590,12,[M]+,N1-Methyl-4-pyridone-5-carboxamide,C7H8N2O2,152.0586,,,,,,,C05843,,,,,,
MSI00732,152.2582,152.2623,27,[M+K]+,Methyl-d9-choline,C5H14NO+,113.164029784,50673-41-1,,,,DB12628,,,,,,,16213540,
MSI00734,152.9041,152.9040,0,[M+Na]+,Trichloroethene,C2HCl3,129.9144,,,,,,,C06790,,,,,,
MSI00739,153.8841,153.8871,19,[M]+,Nickel sulfate,NiSO4,153.887071,7786-81-4; 15244-37-8; 10101-97-0,,CHEBI:53001,,DB14180,,,,,,,24586,Nickel sulfate
MSI00740,153.9555,153.9569,9,[M]+,Dioxidodiperoxidochromate(2-),CrH6O6-2,153.956943,,,CHEBI:30724,,,,,,,,,6857604,
MSI00741,154.0039,154.0046,5,[M]+,6-Chloropurine,C5H3ClN4,154.0046238,87-42-3; 133762-83-1,,CHEBI:177625,,,,,,,,,5359277,6-chloropurine
MSI00742,154.0651,154.0630,14,[M]+,"2,6-Dimethoxyphenol",C8H10O3,154.062994177,91-10-1,,CHEBI:955,,,HMDB0034158,,,,,,7041,Syringol
MSI00745,154.9144,154.9116,18,[M+Na]+,Hydrogen telluride,H2Te,131.9218728,7783-09-7,,CHEBI:49907,,,,,,,,,21765,Hydrogen telluride
MSI00748,155.9892,155.9920,15,[M]+,2-(Methylthio)ethanesulfonate,C3H8O3S2,155.9915,,,,,,,C03920,,,,,,
MSI00755,157.9003,157.8990,8,[M]+,Stannous fluoride,F2Sn,157.899009,7783-47-3,,CHEBI:135933,,DB11092,,,,,,,24550,Tin difluoride
MSI00756,158.0939,158.0930,6,[M+H-H2O]+,L-Citrulline,C6H13N3O3,175.0957,,,,,,,C00327,,,,,,
MSI00762,159.8949,159.8951,1,[M+NH4]+,CID 159329981,CaGeSi,141.8606951,,,,,,,,,,,,159329981,
MSI00763,159.9602,159.9600,1,[M-H2O+NH4]+,"2,2,2-Trichloroethanimidamide",C2H3Cl3N2,159.936181,2533-68-8,,,,,,,,,,,35608,
MSI00764,160.1126,160.1126,0,[M+NH4]+,1-Methylnaphthalene,C11H10,142.078250319,1321-94-4; 90-12-0; 78900-94-4,,CHEBI:50717,,,HMDB0032860,,,,,,7002,1-Methylnaphthalene
MSI00769,161.8465,161.8495,19,[M]+,Molybdenum disulfide,MoS2,161.849546,1309-56-4; 1317-33-5,,CHEBI:30704,,,,,,,,,14823,Molybdenum disulfide
MSI00770,161.8859,161.8815,27,[M+NH4]+,Gallium arsenide,AsGa,143.84717,1303-00-0,,,,,,,,,,,14770,Gallium(III) arsenide
MSI00771,162.1528,162.1528,0,[M+K]+,CID 19857209,C4H5N5,123.05449518,,,,,,,,,,,,19857209,
MSI00772,162.1758,162.1759,1,[M+H-2H2O]+,(1-Methyl-4-pyrrolidin-1-ylpiperidin-4-yl)methanamine,C11H23N3,197.189197746,,,,,,,,,,,,9161412,
MSI00776,162.8164,162.8146,11,[M+H-2H2O]+,"2,4,5-Trioxa-1,3-diarsabicyclo[1.1.1]pentane",As2O3,197.82793,1327-53-3,,,,,HMDB0015300,,,,,,518740,
MSI00777,162.8989,162.8988,0,[M+Na]+,Hydrogen arsenate,AsHO4-2,139.909078,16844-87-4,,CHEBI:48597,,,,,,,,,233,
MSI00778,163.0812,163.0830,12,[M-H2O+NH4]+,O-Ureido-L-serine,C4H9N3O4,163.0593,,,,,,,C20639,,,,,,
MSI00779,163.1984,163.1983,0,[M+K]+,5-Methyl-1-propylimidazole,C7H12N2,124.100048391,144748-27-6,,,,,,,,,,,529340,
MSI00782,164.0224,164.0222,1,[M+H]+,"4-Oxopyrido[4,3-e][1,3]oxazin-2-olate",C7H3N2O3-,163.01436696,,,,,,,,,,,,21814879,
MSI00783,164.1083,164.1050,19,[M+Na]+,Pseudotropine,C8H15NO,141.1154,,,,,,,C02066,,,,,,
MSI00787,164.9082,164.9083,0,[M+Na]+,1-Bromo-2-chloroethane,C2H4BrCl,141.91849,107-04-0,,CHEBI:19032,,,,,,,,,7849,
MSI00791,165.7937,165.7923,8,[M+H-2H2O]+,Tetrachlorocobaltate(2-),Cl4Co-2,200.805654,,,CHEBI:30054,,,,,,,,,5213372,
MSI00792,165.9236,165.9266,18,[M]+,3-Bromopyruvic acid,C3H3BrO3,165.92656,1113-59-3,,CHEBI:131461,,,,,,,,,70684,
MSI00793,165.9373,165.9382,5,[M+H]+,Holmium(3+),Ho+3,164.930329,22541-22-6,,CHEBI:49650,,,,,,,,,185493,
MSI00794,166.1301,166.1320,12,[M+Na]+,"N-(3-Aminopropyl)-2-butene-1,4-diamine",C7H17N3,143.142247555,110319-65-8; 67953-03-1,,CHEBI:48008,,,,,,,,,6437187,
MSI00797,168.0142,168.0149,4,[M]+,"2,1-Benzoxaborole, 5-chloro-1,3-dihydro-1-hydroxy-",C7H6BClO2,168.0149373,174672-06-1,,,,DB12810,,,,,,,11845944,
MSI00798,168.0583,168.0580,5,[M]+,Dibenzofuran,C12H8O,168.0575,,,,,,,C07729,,,,,,
MSI00801,169.2006,169.1956,29,[M+H]+,1-Dodecene,C12H24,168.187800766,112-41-4; 25378-22-7; 62132-67-6,,CHEBI:89713,,,HMDB0059874,,,,LMFA11000313,,8183,
MSI00806,170.0387,170.0370,8,[M-H2O+NH4]+,4-Chlorophenylacetate,C8H7ClO2,170.0135,,,,,,,C03077,,,,,,
MSI00807,170.1334,170.1310,16,[M]+,"(4R,7S)-7-Isopropyl-4-methyloxepan-2-one",C10H18O2,170.1307,,,,,,,C18027,,,,,,
MSI00808,170.1747,170.1749,1,[M+K]+,2-Aminosilyloxane,C5H13NOSi,131.076640573,,,,,,,,,,,,123293792,
MSI00809,170.1924,170.1929,3,[M+K]+,DL-Leucine,C6H13NO2,131.094628657,328-39-2; 328-38-1; 61-90-5,,CHEBI:25017,,,,,,,LMFA01100048,,857,
MSI00817,172.7954,172.7987,19,[M+H-2H2O]+,Rhodium(III); chloride,Cl3Rh,207.81205,10049-07-7,,,,,,,,,,,9920747,
MSI00823,174.1623,174.1620,2,[M]+,1-(1-Ethoxyethoxy)hexane,C10H22O2,174.16197994,54484-73-0,,CHEBI:179047,,,HMDB0037639,,,,,,108244,
MSI00831,176.1229,176.1235,3,[M]+,Octyl methyl sulfoxide,C9H20OS,176.12348643,,,,,,,,,,,,2754342,
MSI00833,177.1417,177.1412,3,[M+K]+,Nicotinamide N-oxide,C6H6N2O2,138.042927438,1986-81-8,,CHEBI:89640,,,HMDB0002730,,,,,,72661,
MSI00834,178.0112,178.0114,1,[M]+,L-arabinarate(2-),C5H6O7-2,178.01135253,,,CHEBI:37544,,,,,,,,,1549305,
MSI00835,178.0197,178.0190,4,[M+NH4]+,"2,4-Dichlorotoluene",C7H6Cl2,159.9847,,,,,,,C18300,,,,,,
MSI00836,178.2349,178.2344,3,[M+K]+,"(1R,4S)-2-Azabornane",C9H17N,139.136099547,167257-29-6,,,,,,,,,,,447260,
MSI00837,178.2505,178.2470,20,[M+K]+,CID 5364382,C10H19,139.148675606,,,,,,,,,,,,5364382,
MSI00841,178.8265,178.8261,2,[M+H-2H2O]+,O-(trichloromethyl) chloromethanethioate,C2Cl4OS,213.839446,,,,,,,,,,,,11218146,
MSI00842,179.1992,179.2014,12,[M-H2O+NH4]+,CID 162329370,C11H24Na,179.17757005,,,,,,,,,,,,162329370,
MSI00844,179.9030,179.9066,20,[M]+,Tellurous acid,H2TeO3,179.9066167,10049-23-7,,CHEBI:30465,,,,,,,,,24936,Tellurous acid
MSI00845,179.9170,179.9175,3,[M+H-2H2O]+,"2,2,4-Trichloro-4-cyanobutanoic acid",C5H4Cl3NO2,214.930761,,,,,,,,,,,,19962417,
MSI00846,180.0113,180.0101,7,[M]+,1-(Methylthio)ethyl 2-propenyl disulfide,C6H12S3,180.0101139,195203-59-9,,CHEBI:173848,,,HMDB0032115,,,,,,6429018,
MSI00847,180.0425,180.0420,1,[M]+,2-Hydroxy-3-(4-hydroxyphenyl)propenoate,C9H8O4,180.0423,,,,,,,C05350,,,,,,
MSI00856,182.9631,182.9636,3,[M+H]+,ZINC acetate,Zn(C2H3O2)2,181.95575,557-34-6; 5970-45-6; 557-34-6,,CHEBI:62984,,DB14487,,,,,,,11192,Zinc_acetate
MSI00857,183.9494,183.9500,3,[M]+,"1,3,5,7,2,4,6,8-Tetroxatetrasilocane",H8O4Si4,183.94996487,293-51-6,,CHEBI:48145,,,,,,,,,185471,
MSI00859,184.8681,184.8666,8,[M+H]+,Calcium selenate,CaSeO4,183.85877,14019-91-1,,,,,,,,,,,166979,Calcium selenate
MSI00860,185.1419,185.1416,2,[M]+,(S)-tert-butyl 2-methylpyrrolidine-1-carboxylate,C10H19NO2,185.141578849,137496-71-0,,,,,,,,,,,9794078,
MSI00866,187.0912,187.0910,1,[M+K]+,"2-Hydroxy-3-chloropenta-2,4-dienoate",C5H5ClO3,147.9927,,,,,,,C11353,,,,,,
MSI00869,187.9633,187.9634,0,[M]+,Calcium tartrate,C4H4CaO6,187.9633787,110720-66-6; 3164-34-9,,CHEBI:190512,,,,,,,,,13725892,Calcium_tartrate
MSI00878,189.0814,189.0823,5,[M]+,2-Amino-3-[(3-methylbut-2-en-1-yl)sulfanyl]propanoic acid,C8H15NO2S,189.08234989,5287-46-7,,,,,HMDB0012286,,,,,,5121218,
MSI00881,191.2597,191.2548,26,[M+K]+,"1,4-Undecadiene",C11H20,152.156500638,53786-93-9; 55976-13-1,,CHEBI:187080,,,HMDB0032712,,,,,,5358328,
MSI00884,192.9681,192.9667,7,[M+H]+,Oxidronic acid,CH6O7P2,191.95887652,15468-10-7,,CHEBI:134844,,DB14159,,,,,,,27304,
MSI00889,194.8474,194.8471,2,[M+H-2H2O]+,Ferric thiocyanate,C3FeN3S3,229.860371,4119-52-2,,,,,,,,,,,165185,Thiocyanatoiron
MSI00890,194.9853,194.9854,0,[M+NH4]+,"2,6-Dichloro-4-hydroxyphenolate",C6H3Cl2O2-,176.9510097,,,CHEBI:141024,,,,,,,,,25202504,
MSI00891,195.1393,195.1410,7,[M+K]+,"2-Hydroxy-6-keto-2,4-heptadienoate",C7H8O4,156.0423,,,,,,,C06210,,,,,,
MSI00895,196.9424,196.9429,3,[M]+,Tantalum oxide (TaO),OTa+3,196.94291,12035-90-4,,,,,,,,,,,44149017,
MSI00897,198.0511,198.0530,9,[M]+,3-Methoxy-4-hydroxymandelate,C9H10O5,198.0528,,,,,,,C05584,,,,,,
MSI00902,199.9086,199.9126,20,[M]+,Potassium bicarbonate potassium bicarbonate,C2H2K2O6,199.91255075,,,,,,,,,,,,129651138,
MSI00906,202.0680,202.0690,6,[M+Na]+,D-Galactosamine,C6H13NO5,179.0794,,,,,,,C02262,,,,,,
MSI00907,202.2088,202.2088,0,[M-H2O+NH4]+,n-Dodecylphosphin,C12H27P,202.185037859,4538-28-7,,,,,,,,,,,11367685,
MSI00909,202.9519,202.9511,4,[M+H-H2O]+,Acetyl diphosphate,C2H6O8P2,219.95379114,,,CHEBI:59811,,,,,,,,,15061649,
MSI00910,203.3410,203.3364,23,[M+H-2H2O]+,CID 166667,B12GaH39,238.34968,,,,,,,,,,,,166667,
MSI00914,203.9341,203.9357,8,[M]+,Ferrous tartrate,C4H4FeO6,203.935723,2944-65-2; 41014-96-4,,,,DB13639,,,,,,,6451676,Ferrous_tartrate
MSI00915,204.1842,204.1838,2,[M]+,"1,4-Bis(3-aminopropoxy)butane",C10H24N2O2,204.183778013,7300-34-7,,,,,,,,,,,81729,
MSI00922,207.9676,207.9671,2,[M+H]+,Copper;2-azanidylpentanedioate,C5H6CuNO4-,206.95928,,,,,,,,,,,,25203914,
MSI00926,208.7786,208.7791,2,[M]+,Cobalt Chromium Molybdenum Alloy Powder,CoCrMo,208.779102,105525-46-0; 12629-02-6,,,,,,,,,,,9855813,
MSI00927,208.9652,208.9651,0,[M+Na]+,Ethyl (chlorosulfonyl)acetate,C4H7ClO4S,185.9753576,55896-93-0,,,,,,,,,,,12225100,
MSI00928,209.0209,209.0210,3,[M+H-2H2O]+,L-Fuculose 1-phosphate,C6H13O8P,244.0348,,,,,,,C01099,,,,,,
MSI00930,210.1700,210.1701,0,[M+K]+,"5-Methoxy-2-methyl-6-(methylsulfanyl)-2,3-dihydropyridine",C8H13NOS,171.07178521,,,,,,,,,,,,15353592,
MSI00931,211.0220,211.0220,1,[M+Na]+,2-Methyl-trans-aconitate,C7H8O6,188.0321,,,,,,,C21250,,,,,,
MSI00937,214.9632,214.9640,5,[M+Na]+,"4,6-Dichloro-3-methylcatechol",C7H6Cl2O2,191.9745,,,,,,,C18302,,,,,,
MSI00940,217.8166,217.8196,14,[M+Na]+,CID 19596827,AgFeO2,194.82986,,,,,,,,,,,,19596827,
MSI00941,218.0189,218.0191,1,[M+Na]+,"3,4-Dihydroxyphenylpyruvate",C9H7O5-,195.02934832,,,CHEBI:29055,,,,,,,,,21124401,
MSI00942,218.8777,218.8800,10,[M+Na]+,(R)-halothane,C2HBrClF3,195.89022,51230-17-2,,CHEBI:49646,,,,,,,,,445258,
MSI00943,219.2877,219.2861,7,[M+K]+,"(Z)-1,5-Tridecadiene",C13H24,180.187800766,84348-07-2,,CHEBI:187442,,,HMDB0041081,,,,,,12793708,
MSI00945,220.0338,220.0370,15,[M]+,(3Z)-4-(2-Carboxyphenyl)-2-oxobut-3-enoate,C11H8O5,220.0372,,,,,,,C16149,,,,,,
MSI00946,221.0312,221.0330,7,[M+H-H2O]+,D-erythro-1-(Imidazol-4-yl)glycerol 3-phosphate,C6H11N2O6P,238.0355,,,,,,,C04666,,,,,,
MSI00947,221.0414,221.0412,1,[M]+,5-Cyclopropyl-1-nitro-3-(trifluoromethyl)pyrazole,C7H6F3N3O2,221.04121093,,,,,,,,,,,,19620676,
MSI00949,222.1272,222.1256,7,[M]+,2-Hydroxyibuprofen,C13H18O3,222.125594432,51146-55-5,,CHEBI:133197,,,HMDB0060920,,,,,,10443535,
MSI00950,222.1863,222.1880,7,[M+K]+,L-Normetanephrine,C9H13NO3,183.0895,,,,,,,C05589,,,,,,
MSI00952,223.0747,223.0746,1,[M]+,N-hydroxy-8H-cyclohepta[b]quinoxalin-8-imine,C13H9N3O,223.074561919,96331-69-0,,,,,,,,,,,886384,
MSI00955,223.9497,223.9507,5,[M]+,"1,2-Dichloropropane;1,3-dichloroprop-1-ene",C6H10Cl4,223.950711,8003-19-8,,,,,,,,,,,73422990,
MSI00959,226.7973,226.7989,7,[M+H-2H2O]+,Iodine-131,I2,261.81225,10043-66-0; 15124-39-7,,,,,,,,,,,24855,Iodine-131
MSI00960,227.0570,227.0560,6,[M+H]+,Chorismate,C10H10O6,226.0477,,,,,,,C00251,,,,,,
MSI00965,230.2143,230.2120,10,[M+H]+,2-Amino-tridecanoic acid,C13H27NO2,229.204179104,,,CHEBI:187221,,,,,,,LMFA01100026,,409321,
MSI00967,231.0716,231.0740,12,[M]+,N-Succinyl-L-glutamate 5-semialdehyde,C9H13NO6,231.0743,,,,,,,C05932,,,,,,
MSI00969,231.8611,231.8625,6,[M+H-2H2O]+,"(Dichloromethylene)bisphosphonic acid, sodium salt",CH4Cl2NaO6P2+,266.8757865,29329-69-9,,,,,,,,,,,21269504,
MSI00973,235.9525,235.9570,18,[M+NH4]+,"delta-3,4,5,6-Tetrachlorocyclohexene",C6H6Cl4,217.9224,,,,,,,C06989,,,,,,
MSI00974,236.7833,236.7827,3,[M+H-H2O]+,"Arsenenous acid, calcium salt (2:1)",As2CaO4,253.78544,15194-98-6,,,,,,,,,,,61788,
MSI00976,238.2259,238.2300,16,[M]+,Hexadecenal,C16H30O,238.2297,,,,,,,C06123,,,,,,
MSI00977,238.7277,238.7291,6,[M+H-H2O]+,Trizinc diphosphide,P2Zn3,255.73184,1314-84-7; 12037-79-5,,,,,,,,,,,25113606,Zinc phosphide
MSI00978,239.2182,239.2184,1,[M+K]+,Lacinilene A,C14H16O,200.12011513,,,,,,,,,,,,10878174,
MSI00980,239.7827,239.7779,20,[M]+,Molybdenum tetrachloride,MoCl4,239.777864,13320-71-3,,CHEBI:30634,,,,,,,,,83340,Molybdenum(IV) chloride
MSI00984,244.1015,244.1050,13,[M+NH4]+,5-Acetylamino-6-formylamino-3-methyluracil,C8H10N4O4,226.0702,,,,,,,C16365,,,,,,
MSI00986,248.1232,248.1250,6,[M+NH4]+,N1-Acetyl-tabtoxinine-beta-lactam,C9H14N2O5,230.0903,,,,,,,C20921,,,,,,
MSI00987,248.2125,248.2130,1,[M-H2O+NH4]+,Lupanine,C15H24N2O,248.1889,,,,,,,C10772,,,,,,
MSI00991,254.0488,254.0487,0,[M-H2O+NH4]+,Menadione bisulfite,C11H10O5S,254.02489459,130-36-9,,CHEBI:63930,,DB15944,,,,,,,8536,
MSI00993,254.9152,254.9155,1,[M+Na]+,"Thiazole, 2,2'-dithiobis-",C6H4N2S4,231.92573283,20362-54-3,,,,,,,,,,,357976,
MSI00995,258.2400,258.2399,0,[M+K]+,CID 23174310,C10H23O3Si,219.14164613,,,,,,,,,,,,23174310,
MSI00996,259.0593,259.0620,9,[M+Na]+,2-(4'-Methylthio)butylmalic acid,C9H16O5S,236.0718,,,,,,,C17218,,,,,,
MSI01000,265.2993,265.3028,13,[M+K]+,1-(n-Decyl)-3-pyrazolidinone,C13H26N2O,226.204513457,80168-39-4,,CHEBI:189292,,,,,,,,,133390,
MSI01001,266.0831,266.0820,5,[M-H2O+NH4]+,"Phenanthrene-4,5-dicarboxylate",C16H10O4,266.0579,,,,,,,C18252,,,,,,
MSI01002,266.8474,266.8467,3,[M+H]+,Diarsenic acid,As2H4O7,265.83889,13453-15-1,,,,,,,,,,,61618,
